English;Russian
be known as sb/sth;быть известным как sb/sth
be known to do sth;быть известным делать что-л.
be made of sth;быть сделанным из чего-н.
be made up of sth;состоять из чего-л.
be meant to do sth;иметь намерение сделать что-л.
be reported to be sth;быть заявленным как что-л.
be said to be sth;быть названным
be supposed to do sth;должен делать что-л.
be surrounded by sb/sth;быть окруженным кем-л./чем-л.
be to blame;быть виноватым
bear sb/sth in mind;имейте в виду
because of;из-за
begin with sth;начинать с чего-л.
believe in sb/sth;верить в что-то/что-то
belong to sb;принадлежат кому-л.
belong to sth;принадлежать к чему-н.
benefit from sth;извлечь выгоду из чего-н.
best friend;лучший друг
black and white;черное и белое
both sides;обе стороны
bound to do sth;обязан сделать что-л.
break up;расставаться
bring sb up;поднять кого-л.
bring sth about;привести что-л.
bring sth up;поднять что-л.
by means of sth;с помощью чего-н.
by no means;ни в коем случае
by now;к настоящему времени
by the end of sth;к концу ст
by the time (that)…;к тому времени (что)…
call for sth;вызвать что-л.
call on sb;позвони кому-нибудь
can't afford sth;не могу позволить себе что-л.
car park;автопарк
care about sth;заботиться о чем-то
care for sb;заботиться о сб
carry on;продолжать
carry sth out;выполнять что-л.
case study;тематическое исследование
caused by sth;вызвано чем-то
cell phone;сотовый телефон
check in;регистрироваться
check out;проверить
check sb/sth out;проверить что-то/что-то из
choose to do sth;выбрать делать что-л.
city centre;городской центр
clean up;очистить
click on sth;нажмите на что-то
climate change;изменение климата
close to sb/sth;близко к sb/sth
come across sb/sth;встретить что-то/что-то
come back;Вернись
come from…;родом из…
come into sth;войти в кое-что
come on!;ну давай же!
come true;сбываться
come up with sth;придумать что-л.
compared with sth;по сравнению с чем-л.
concentrate on sth;сосредоточиться на чем-л.
concerned about sth;беспокоит что-л.
concerned with sth;связанный с чем-л.
confidence in sb/sth;уверенность в чем-то/что-то
connected to sth;связано с чем-л.
connected with sb/sth;связано с кем-то/чем-то
consist of sb/sth;состоять из с/н
consistent with sth;в соответствии с чем-л.
contribute to sth;способствовать чему-л.
control over sb/sth;контроль над кем-л./чем-л.
cope with sth;справиться с чем-л.
credit card;кредитная карта
deal with sb;иметь дело с кем-л.
deal with sth;иметь дело с чем-л.
decide on sth;решать что-л.
decline in sth;снижение в чем-л.
dedicated to sth;посвященный чему-н.
depend on sb/sth;зависеть от кого-л./кого-л.
depend on sth;зависеть от чего-л.
dependent on sb/sth;зависит от кого-то/чего-то
depending on;в зависимости от
deprive sb/sth of sth;лишить кого-л. чего-н.
despite the fact that…;несмотря на то, что…
developing countries;развивающиеся страны
differences between a and b;различия между а и б
difficult for sb;трудно для кого-то
dispose of sb/sth;распоряжаться чем-то
do well;делай хорошо
draw attention to sb/sth;привлечь внимание к кому-л./чему-л.
due to sb/sth;из-за чего-то/чего-то
each one;каждый
each other;друг друга
economic growth;экономический рост
end in sth;оканчиваться на что-л.
end up;завершить
end with sth;заканчиваться на что-л.
engage in sth;заниматься чем-л.
engaged in sth;занимается чем-л.
even if;даже если
even more…;даже больше…
even though;Несмотря на то
ever since;с тех пор
every day;каждый день
everyone else;все остальные
exactly the same;точно так же
except for;за исключением
excuse me;прошу прощения
experience in sth;опыт работы в чем-л.
exposure to sth;воздействие чего-л.
fail to do sth;не сделать что-л.
fall asleep;заснуть
fall in love;влюбляться
fall off;упасть
family member;член семьи
far away;далеко
far from sth;далеко от чего-то
far more;гораздо больше
far too;слишком
fed up;сыт по горло
feel good;хорошо себя чувствовать
feel like sth;чувствовать себя как что-то
figure sb/sth out;вычислить ст/ст из
fill sth in;заполнить что-л.
find it difficult to do sth;трудно делать что-л.
find out;выяснить
find yourself doing sth;поймать себя на том, что ты делаешь что-то
first of all;прежде всего
focus on sb/sth;сосредоточить внимание на что-то/что-то
follow sth up;следить за чем-то
followed by sb/sth;затем sb/sth
for a long time;надолго
for a moment;на мгновение
for a while;некоторое время
for example;например
for free;бесплатно
for instance;например
for life;для жизни
for long;надолго
for lunch;на обед
for many years;на протяжении многих лет
for some time;на некоторое время
for that matter;в этом отношении
for the benefit of sb;на благо кого-л.
for the first time;в первый раз
for the rest of sth;для остальных
for the sake of sb/sth;ради чего-то/чего-то
for this reason;по этой причине
get away with sth;уйти с чем-л.
get back;вернуться
get better;поправляйся
get home;добраться до дома
get in;Залезай
get lost;теряться
get married;жениться
get off;отправиться
get on;ладить
get on with sb;ладить с кем-л.
get out;Убирайся
get over sb/sth;пережить что-то/что-то
get ready;приготовься
get rid of sb/sth;избавиться от кого-л./кого-л.
get there;достичь цели
get to know sb;познакомиться с кем-л.
get to…;добраться до…
get up;вставать
get used to sth;привыкнуть к чему-л.
give sth up;сдаваться
give up;сдаться
given that…;при условии…
global warming;глобальное потепление
go ahead;вперед, продолжать
go and…;Иди и…
go away;Уходите
go back;возвращаться
go down;опускаться
go down sth;спуститься
go for sth;пойти на что-то
go home;иди домой
go into sth;идти в кое-что
go off;уходить
go on to do sth;продолжать делать что-л.
go out;выходить
go through sth;пройти через что-л.
go to bed;ложиться спать
go to school;идти в школу
go to work;идти на работу
go up;подниматься
go wrong;пойти не так
good at sth;хорош в чем-то
good for sb/sth;хорошо для кого-то/чего-то
good luck;удачи
good morning;доброе утро
good news;хорошие новости
good thing;хорошая вещь
grow up;расти
growth in sth;рост в чем-л.
guess what…;Угадай, что…
had better;стал лучше
half an hour;полчаса
hang on;подожди
happen to sb/sth;случиться с кем-то/чем-то
happy with sb/sth;доволен кем-то/чем-то
hard work;тяжелая работа
have a look;Взгляни
have fun;веселиться
have got;иметь
have got to;должны
have no idea;не имеют ни малейшего представления
have nothing to do with sb/sth;не иметь ничего общего с кем-то/чем-то
have sb/sth in mind;иметь в виду что-то/что-то
have sth in common;иметь что-то общее
have time;иметь время
have you ever…?;вы когда-нибудь…?
he or she;он или она
health problems;проблемы со здоровьем
hear about sb/sth;услышать о чем-то
hear of sb/sth;услышать что-то/что-то
heart disease;сердечное заболевание
high school;средняя школа
high street;Главная улица
higher education;высшее образование
his or her;его или ее
how about…?;как насчет…?
how are you?;Как вы?
how long…?;сколько…?
how many…?;сколько…?
how much…?;сколько…?
how often…?;как часто…?
human being;человек
human rights;права человека
i don't care;Мне все равно
i guess;наверное
i have to say…;я должен сказать…
i mean;я имею в виду
i think so;я так думаю
i wonder if…;Интересно, если…
i would say…;я бы сказал…
i'm afraid…;Боюсь…
i'm sorry;мне жаль
if i were you;на твоем месте
if necessary;если необходимо
if only…;если только…
if you want to;если вы хотите
important for sb/sth;важно для кого-то/чего-то
in a position to do sth;в состоянии делать что-л.
in a way that…;таким образом, что…
in accordance with sth;в соответствии с ст.
in action;В бою
in addition;кроме того
in advance;заранее
in an attempt to do sth;в попытке сделать что-л.
in any case;в любом случае
in april;в апреле
in bed;в постели
in business;в бизнесе
in case…;в случае…
in charge of sb/sth;отвечает за что-то/что-то
in class;в классе
in conjunction with sb/sth;в сочетании с sb/sth
in connection with sb/sth;в связи с чем-то/чем-то
in contrast;в отличие
in danger;в опасности
in effect;в результате
in fact;фактически
in favour of sb/sth;в пользу с/с
in front of;перед
in full;в полном объеме
in general;в общем
in history;в истории
in hospital;в больнице
in line with sth;в соответствии с чем-л.
in love;влюбленный
in my opinion;по моему мнению
in order of sth;в порядке кое-чего
in order to do sth;чтобы сделать что-л.
in other words;другими словами
in part;частично
in particular;в частности
in place;на месте
in practice;на практике
in prison;в тюрьме
in public;на публике
in recent years;в последние годы
in relation to sb/sth;по отношению к кому-л./чему-л.
in respect of sth;в отношении чего-л.
in response to sth;в ответ на что-л.
in school;в школе
in some cases;в некоторых случаях
in space;в космосе
in spite of sth;несмотря ни на что
in such a way (that)…;таким образом, что)…
in summer;летом
in terms of sth;с точки зрения чего-н.
in the absence of sb/sth;при отсутствии sb/sth
in the air;в воздухе
in the case of sth;в случае чего-н.
in the centre;в центре
in the country;в стране
in the course of…;в течение…
in the end;в конце концов
in the event of sth;в случае чего-н.
in the face of sth;перед лицом чего-н.
in the first place;в первую очередь
in the form of sb/sth;в форме с/с
in the future;в будущем
in the hands of sb;в руках сб
in the light of sth;в свете чего-н.
in the meantime;в это время
in the middle;в середине
in the midst of sth;посреди чего-н.
in the morning;утром
in the near future;в ближайшем будущем
in the north;на севере
in the past;в прошлом
in the presence of sb;в присутствии сб
in the same way;таким же образом
in the street;на улице
in the summer;летом
in the wake of sb/sth;после чего-то/чего-то
in the way (that)…;таким образом, чтобы)…
in this case;в этом случае
in this way;таким образом
in time;во время
in touch;на связи
in town;в городе
in turn;по очереди
instead of;вместо
investment in sth;инвестиции в что-л.
involvement in sth;участие в чем-л.
it depends;это зависит
it is important to do sth;важно делать что-л.
it takes …;занимает …
kind of sb/sth;вид с/с
know how;секрет производства
last time;последний раз
last year;в прошлом году
lead to sth;вести к чему-л.
learn how to do sth;научиться делать что-л.
leave sb/sth out;оставить sb/sth вне
less than…;меньше, чем…
let alone;не говоря уже о
let me know;дайте мне знать
let me…;разрешите…
likely to do sth;скорее всего сделает что-л.
listen to sb/sth;слушать что-то/что-то
little more than…;чуть больше чем…
live on sth;жить на чем-л.
live with sb;жить с кем-л.
living room;гостиная
loads of sb/sth;множество с/с
look after sb/sth/yourself;заботиться о ком-то/что-то/себе
look at sb/sth;посмотри на sb/sth
look back at sth;оглянуться на что-л.
look for sb/sth;искать что-то/что-то
look forward to sth;с нетерпением жду чего-то
look like sb/sth;выглядеть как что-то/что-то
look out;высматривать
look sth up;посмотри
lots of…;много…
make a difference;Сделать разницу
make a mistake;сделать ошибку
make money;Зарабатывать
make sense;иметь смысл
make sth up;помириться
make sure;убеждаться
manage to do sth;суметь сделать что-л.
may well;вполне может
mean to do sth;значит делать что-л.
mental health;душевное здоровье
millions of…;миллионы…
mobile phone;мобильный телефон
more and more;все больше и больше
more or less;более или менее
more than…;больше, чем…
move on;двигаться дальше
much better;намного лучше
next time;в следующий раз
next year;Следующий год
no doubt;без сомнения
no longer;больше никогда
no matter…;независимо от того…
no more than…;не более чем…
no problem;без проблем
no way;ни за что
not at all;нисколько
not even;даже не
not necessarily;не обязательно
not only;не только
not to mention;не говоря уже о
nothing but;ничего кроме
nothing like;Ничего подобного
of course;конечно
oh dear;о, Боже
oh no!;о, нет!
oh well;Ну что ж
oh yes;о, да
old friend;Старый друг
on a regular basis;на регулярной основе
on behalf of sb;от имени сб
on board;на борту
on earth;на земле
on holiday;на выходных
on monday;в понедельник
on my own;самостоятельно
on television;по телевизору
on the basis of sth;на основе чего-н.
on the beach;на пляже
on the floor;на полу
on the ground;на земле
on the internet;в Интернете
on the left;слева
on the one hand;с одной стороны
on the other hand;с другой стороны
on the other side;на другой стороне
on the part of sb;со стороны сб
on the phone;на телефоне
on the street;на улице
on the wall;на стене
on the way;в пути
on time;вовремя
on top of sth/sb;поверх ст/сб
on tv;по телевизору
once a…;когда…
once again;снова
one another;друг друга
one day;один день
one or two;один или два
opposed to sth;в отличие от чего-н.
or so;или так
or something;или что-то
or two;или два
ordinary people;обычные люди
other than;Кроме как
ought to;должен
out of sth;из чего-н.
out there;там
over the course of…;в течение…
over the years;на протяжении многих лет
over there;вон там
over time;через некоторое время
participate in sth;участвовать в чем-л.
pay attention;обращать внимание
pay for sth;платить за что-л.
per hour;в час
phone call;телефонный звонок
phone number;номер телефона
pick sb/sth up;подобрать ст/ст вверх
plan for sth;план на что-л.
play with sb/sth;играть с кем-то/что-то
point of view;точка зрения
point out;указать
police officer;офицер полиции
police station;полицейский участок
post office;почтовое отделение
potential for sth;потенциал для чего-н.
prepared to do sth;готов сделать что-л.
pretty good;довольно хорошо
pretty much;довольно много
primary school;Начальная школа
prime minister;премьер-министр
prior to;до
prove to be sth;оказаться чем-то
public transport;общественный транспорт
put it;положи это
put sth forward;выдвигать что-л.
put sth on;надеть что-л.
put sth together;собрать что-л вместе
put sth up;выкладывать что-л.
quality of life;качество жизни
quite a lot;достаточно много
quite a…;довольно…
raise money;собирать деньги
ranging from;начиная от
rather than;скорее, чем
reaction to sth;реакция на что-л.
really enjoy;действительно наслаждайтесь
really good;действительно хорошо
really like;очень нравится
reasons why;Причины, почему
refer to sb/sth;обратиться к sb / sth
regarded as sth;считается чем-то
relate to sth/sb;относиться к чему-н./ч.б.
related to sth/sb;относящийся к чему-н./ч.б.
relevant to sb/sth;относящийся к чему-то/чему-то
rely on sb/sth;полагаться на что-то/что-то
report on sth;отчет о чем-л.
respect for sb/sth;уважение к чему-то/чему-то
respond to sth/sb;ответить на что-то/сб
result in sth;привести к чему-н.
right now;прямо сейчас
rise in sth;подняться в чем-л.
role model;образец для подражания
run out;закончиться
run out of sth;исчерпать что-л.
save money;Экономить деньги
science fiction;научная фантастика
search engine;поисковый движок
search for sth/sb;поиск sth/sb
secondary school;средняя школа
see you;Увидимся
seek to do sth;стремиться сделать что-л.
set out;установить
set sth up;настроить что-л.
set to do sth;приступить к чему-либо
short of sth;если не считать чего-н.
sit down;садиться
slow down;замедлять
so as to do sth;чтобы сделать что-л.
so far;до сих пор
so that…;так что…
solution to sth;решение чего-н.
some kind of…;наподобие…
someone else;кто-нибудь другой
something like…;что-то вроде…
sort of sth;типа того
sort sb/sth/yourself out;разобраться в чем-л./в себе
sound like sb/sth;звучит как сб/ст
speak to sb;поговори с кем-нибудь
spend time;проводить время
stand up;вставать
start with sb/sth;начните с уб/ст
stay in;остаться в
stick to sth;придерживаться чего-л.
subject to sth;подлежит чему-н.
succeed in doing sth;преуспевать в чем-л.
such a/an…;такой/а…
such as;такой как
suffer from sth;страдать от чего-л.
sum up;подвести итог
sure to do sth;обязательно сделаю что-л.
swimming pool;бассейн
take advantage of sb/sth;воспользоваться sb/sth
take care of sb/sth/yourself;заботиться о ком-то/что-то/себя
take off;снимать
take over;перенимать
take part;принимать участие
take place;происходит
take sth into account;принимать во внимание
take sth off;снять что-л.
take sth up;взять что-л.
take sth/sb on;взять что-л/сб на
take up sth;взяться за что-л.
talk about sb/sth;говорить о ком-то
tell the truth;говорить правду
tend to do sth;склонны делать что-л.
thank you;Спасибо
thanks to sb/sth;благодаря sb/sth
that day;тот день
that is;то есть
that's it;вот и все
the 20th century;20 век
the best thing;Лучшая вещь
the case;случай
the extent to which…;Степень, в которой…
the fact that…;дело в том, что…
the first thing;во-первых
the following…;следующее…
the important thing;важная вещь
the next day;На следующий день
the other side of sth;другая сторона чего-л.
the rest of sth;остальное что-л.
the vast majority of sth;подавляющее большинство чего-н.
there is;есть
these days;в эти дни
they say…;они говорят…
think about sb/sth;думать о ком-то
think of sb/sth;думать о чем-то
this is…;Это…
this kind of…;Этот вид…
this morning;этим утром
this time;на этот раз
this year;в этом году
those who…;те, кто…
thousands of…;тысячи…
throw sth away;выбросить что-л.
to date;на сегодняшний день
to do with sb/sth;делать с чем-то/чем-то
together with;вместе с
too bad;очень жаль
too long;слишком долго
too much;слишком
town centre;Центр города
try and…;попробуй и…
turn into sth;превратиться в что-л.
turn out;оказаться
turn sth off;выключить
turn sth on;включить что-то
turn sth up;включи что-л.
tv show;ТВ шоу
unable to do sth;не в состоянии делать что-л.
up against sth;против чего-л.
up and down;вверх и вниз
up to sb;до сб
up to sth;до чего-то
wait for sb/sth;ждать кого-л./что-н.
wake up;проснуться
way of life;образ жизни
welcome to sth;добро пожаловать в кое-что
well known;хорошо известный
what about…?;как насчет…?
when it comes to sth;когда дело доходит до чего-то
whether or not…;так или иначе…
why not…?;почему нет…?
with regard to sb/sth;в отношении кого-то/чего-то
with respect to sth;по отношению к чему-л.
with the exception of sb/sth;за исключением sb/sth
work as sth;работать как что-л.
work for sb/sth;работа для кого-то/чего-то
work hard;много работать
work on sth;работать над чем-л.
work out;тренировка
work sth out;выработать что-л.
work together;работать вместе
work with sb;работать с сб
worried about sb/sth;беспокоюсь о ком-то/что-то
would like;хотел бы
would love to do sth;хотел бы сделать что-л.
would rather…;скорее бы…
would you like…?;Вы бы хотели…?
write sth down;записать что-л.
wrong with sb/sth;неправильно с sb/sth
x hours a day;х часов в день
x times a…;х раз в…
x years ago;х лет назад
x years later;х лет спустя
x years old;х лет
you see;Понимаете
you're welcome;пожалуйста
